company_name,symbol,day,time,eps
A. H. Belo Corp,AHC,Apr 27,After Market Close,N/A
Accuride Corp,ACW,Apr 27,Before Market Open,0.03
Advent Software Inc,ADVS,Apr 27,After Market Close,0.37
Afren PLC,AFR.L,Apr 27,Before Market Open,N/A
Agree Realty Corp,ADC,Apr 27,After Market Close,0.57
Alere Inc,ALR,Apr 27,Before Market Open,0.49
Alexandria Real Estate Equities Inc,ARE,Apr 27,After Market Close,1.26
Allison Transmission Holdings Inc,ALSN,Apr 27,After Market Close,0.34
American Campus Communities Inc,ACC,Apr 27,After Market Close,0.66
American Capital Agency Corp,AGNC,Apr 27,After Market Close,N/A
American Financial Group Inc,AFG,Apr 27,After Market Close,1.14
Amkor Technology Inc,AMKR,Apr 27,After Market Close,0.1
Anworth Mortgage Asset Corp,ANH,Apr 27,After Market Close,0.12
Apple Inc,AAPL,Apr 27,After Market Close,2.16
Arlington Asset Investment Corp,AI,Apr 27,After Market Close,1.2
Astra International Tbk PT,ASII.JK,Apr 27,Time Not Supplied,N/A
AvalonBay Communities Inc,AVB,Apr 27,After Market Close,1.83
Bank Tabungan Negara (Persero) Tbk PT,BBTN.JK,Apr 27,Time Not Supplied,N/A
Bankia SA,BKIA.MC,Apr 27,Time Not Supplied,N/A
Barracuda Networks Inc,CUDA,Apr 27,After Market Close,0.06
Barrick Gold Corp,ABX.TO,Apr 27,After Market Close,0.1
Bear State Financial Inc,BSF,Apr 27,After Market Close,N/A
Bekasi Fajar Industrial Estate Tbk PT,BEST.JK,Apr 27,After Market Close,N/A
Berkshire Hills Bancorp Inc,BHLB,Apr 27,After Market Close,0.47
Body Central Corp,BODY,Apr 27,After Market Close,N/A
Boston Properties Inc,BXP,Apr 27,After Market Close,1.24
Brixmor Property Group Inc,BRX,Apr 27,After Market Close,0.11
C.H. Robinson Worldwide Inc,CHRW,Apr 27,After Market Close,0.74
Cadence Design Systems Inc,CDNS,Apr 27,After Market Close,0.21
Campus Crest Communities Inc,CCG,Apr 27,Before Market Open,0.15
Cape Bancorp Inc,CBNJ,Apr 27,Time Not Supplied,0.14
Capital City Bank Group Inc,CCBG,Apr 27,Before Market Open,0.12
CAT oil AG,O2C.DE,Apr 27,Time Not Supplied,N/A
Changyou.Com Ltd,CYOU,Apr 27,Before Market Open,0.63
China National Materials Co Ltd,1893.HK,Apr 27,Time Not Supplied,N/A
Chongqing Department Store Co Ltd,600729.SS,Apr 27,Time Not Supplied,N/A
Churchill Downs Inc,CHDN,Apr 27,After Market Close,-0.15
CIR Compagnie Industriali Riunite SpA,CIR.MI,Apr 27,04:00 am ET,N/A
Compass Minerals International Inc,CMP,Apr 27,After Market Close,1.87
Container Store Group Inc,TCS,Apr 27,After Market Close,0.31
Copper Mountain Mining Corp,CUM.TO,Apr 27,Before Market Open,0.02
COSCO Pacific Ltd,1199.HK,Apr 27,Time Not Supplied,N/A
Crane Co,CR,Apr 27,After Market Close,1
Creative Realities Inc,CREX,Apr 27,Time Not Supplied,N/A
CSR PLC,CSR.L,Apr 27,Time Not Supplied,0.07
CTS Corp,CTS,Apr 27,After Market Close,0.2
DBS Group Holdings Ltd,D05.SI,Apr 27,Before Market Open,0.42
Digimarc Corp,DMRC,Apr 27,After Market Close,-0.5
Digital Globe Services Ltd,DGS.L,Apr 27,Time Not Supplied,N/A
Dolphin Capital Investors Ltd,DCI.L,Apr 27,Time Not Supplied,N/A
Dorman Products Inc,DORM,Apr 27,Time Not Supplied,0.65
Duro Felguera SA,MDF.MC,Apr 27,Time Not Supplied,N/A
E-L Financial Corporation Ltd,ELF.TO,Apr 27,Time Not Supplied,N/A
Enduro Royalty Trust,NDRO,Apr 27,Time Not Supplied,N/A
Everest Re Group Ltd,RE,Apr 27,After Market Close,5.93
Exillon Energy PLC,EXI.L,Apr 27,Time Not Supplied,N/A
Falkland Oil and Gas Ltd,FOGL.L,Apr 27,Time Not Supplied,N/A
Feronia Inc,FRN.V,Apr 27,Time Not Supplied,N/A
First Interstate Bancsystem Inc,FIBK,Apr 27,After Market Close,0.48
First Security Group Inc,FSGI,Apr 27,After Market Close,0.01
Flushing Financial Corp,FFIC,Apr 27,After Market Close,0.33
Fomento de Construcciones y Contratas SA,FCC.MC,Apr 27,Before Market Open,N/A
General Growth Properties Inc,GGP,Apr 27,After Market Close,0.32
German American Bancorp Inc,GABC,Apr 27,After Market Close,0.51
GigOptix Inc,GIG,Apr 27,Time Not Supplied,-0.01
Globus Maritime Ltd,GLBS,Apr 27,After Market Close,N/A
Gravity Co Ltd,GRVY,Apr 27,Time Not Supplied,N/A
Grupo Kuo SAB de CV,KUOB.MX,Apr 27,Time Not Supplied,N/A
GS Home Shopping Inc,028150.KQ,Apr 27,Time Not Supplied,N/A
Guangzhou Automobile Group Co Ltd,601238.SS,Apr 27,Time Not Supplied,N/A
Haemonetics Corp,HAE,Apr 27,Before Market Open,0.52
Hanjaya Mandala Sampoerna Tbk PT,HMSP.JK,Apr 27,Time Not Supplied,N/A
Hartford Financial Services Group Inc,HIG,Apr 27,After Market Close,0.97
Harum Energy Tbk PT,HRUM.JK,Apr 27,After Market Close,N/A
Headwaters Inc,HW,Apr 27,Before Market Open,-0.11
Heartland Financial USA Inc,HTLF,Apr 27,After Market Close,0.57
Hersha Hospitality Trust,HT,Apr 27,After Market Close,0.06
Hertz Global Holdings Inc,HTZ,Apr 27,Time Not Supplied,0.02
Hilltop Holdings Inc,HTH,Apr 27,Time Not Supplied,N/A
Holcim Indonesia Tbk PT,SMCB.JK,Apr 27,After Market Close,N/A
Home Product Center PCL,HMPRO.BK,Apr 27,After Market Close,N/A
HomeStreet Inc,HMST,Apr 27,After Market Close,-0.03
Hudson Valley Holding Corp,HVB,Apr 27,After Market Close,0.18
Hutchison Port Holdings Trust,NS8U.SI,Apr 27,After Market Close,N/A
IGI Laboratories Inc,IG,Apr 27,After Market Close,0.01
INC Research Holdings Inc,INCR,Apr 27,Time Not Supplied,0.28
Independent Bank Group Inc,IBTX,Apr 27,5:00 pm ET,0.6
Innophos Holdings Inc,IPHS,Apr 27,After Market Close,0.65
Inogen Inc,INGN,Apr 27,Before Market Open,N/A
Ixia,XXIA,Apr 27,Time Not Supplied,0.1
J & J Snack Foods Corp,JJSF,Apr 27,4:00 pm ET,0.74
Jasa Marga (Persero) Tbk PT,JSMR.JK,Apr 27,Time Not Supplied,N/A
Jasmine International PCL,JAS.BK,Apr 27,Time Not Supplied,N/A
Jiangsu Expressway Co Ltd,600377.SS,Apr 27,Time Not Supplied,N/A
Jiangsu Kanion Pharmaceutical Co Ltd,600557.SS,Apr 27,Time Not Supplied,N/A
John B Sanfilippo & Son Inc,JBSS,Apr 27,After Market Close,0.38
Johnson Outdoors Inc,JOUT,Apr 27,Before Market Open,0.83
Jones Lang LaSalle Inc,JLL,Apr 27,After Market Close,0.47
Kadant Inc,KAI,Apr 27,After Market Close,0.58
Klabin SA,KLBN4.SA,Apr 27,Before Market Open,N/A
Laboratory Corporation of America Holdings,LH,Apr 27,Before Market Open,1.63
Lakeland Financial Corp,LKFN,Apr 27,Before Market Open,0.64
M Dias Branco SA Industria e Comercio de Alimentos,MDIA3.SA,Apr 27,After Market Close,N/A
MBT Financial Corp,MBTF,Apr 27,After Market Close,N/A
MCG Capital Corp,MCGC,Apr 27,Before Market Open,-0.02
Merchants Bancshares Inc,MBVT,Apr 27,After Market Close,0.52
Mercury General Corp,MCY,Apr 27,Before Market Open,0.72
Merrimack Pharmaceuticals Inc,MACK,Apr 27,Before Market Open,-0.29
Mind CTI Ltd,MNDO,Apr 27,Time Not Supplied,N/A
MIT Holding Inc,MITD,Apr 27,Time Not Supplied,N/A
Monogram Residential Trust Inc,MORE,Apr 27,Time Not Supplied,0.09
MSA Safety Inc,MSA,Apr 27,After Market Close,0.52
Nam Tai Property Inc,NTP,Apr 27,Before Market Open,N/A
Nanophase Technologies Corp,NANX,Apr 27,4:00 pm ET,N/A
National Interstate Corp,NATL,Apr 27,After Market Close,0.42
Navios Maritime Partners LP,NMM,Apr 27,Time Not Supplied,0.19
NBT Bancorp Inc,NBTB,Apr 27,After Market Close,0.42
Noranda Aluminum Holding Corp,NOR,Apr 27,Before Market Open,0
Norwegian Cruise Line Holdings Ltd,NCLH,Apr 27,After Market Close,0.23
OceanaGold Corp,OGC.AX,Apr 27,Before Market Open,N/A
Old National Bancorp,ONB,Apr 27,Before Market Open,0.25
Olin Corp,OLN,Apr 27,After Market Close,0.25
Opus Bank,OPB,Apr 27,Before Market Open,0.34
Orchid Island Capital Inc,ORC,Apr 27,After Market Close,0.55
OSI Systems Inc,OSIS,Apr 27,Before Market Open,0.77
Overstock com Inc,OSTK,Apr 27,After Market Close,0.2
Owens & Minor Inc,OMI,Apr 27,After Market Close,0.45
PartnerRe Ltd,PRE,Apr 27,After Market Close,2.5
PCM Inc,PCMI,Apr 27,After Market Close,0
People Corp,PEO.V,Apr 27,Time Not Supplied,0.02
Petro-king Oilfield Services Ltd,2178.HK,Apr 27,Time Not Supplied,N/A
Petroceltic International PLC,PCI.L,Apr 27,Time Not Supplied,N/A
PetroChina Co Ltd,601857.SS,Apr 27,After Market Close,N/A
Petromaroc Corporation PLC,PMA.V,Apr 27,Time Not Supplied,N/A
Plantronics Inc,PLT,Apr 27,Time Not Supplied,0.61
Plum Creek Timber Company Inc,PCL,Apr 27,After Market Close,N/A
PMC-Sierra Inc,PMCS,Apr 27,After Market Close,0.09
Popular Inc,BPOP,Apr 27,Before Market Open,0.74
PrairieSky Royalty Ltd,PSK.TO,Apr 27,After Market Close,0.17
Precision Drilling Corp,PD.TO,Apr 27,Before Market Open,0.05
PTT Exploration and Production PCL,PTTEP.BK,Apr 27,Time Not Supplied,N/A
QTS Realty Trust Inc,QTS,Apr 27,After Market Close,0.5
Quicksilver Resources Inc,KWKAQ,Apr 27,Before Market Open,-0.02
Ramayana Lestari Sentosa Tbk PT,RALS.JK,Apr 27,After Market Close,N/A
Rent-A-Center Inc,RCII,Apr 27,After Market Close,0.5
Restaurant Brands International Inc,QSR.TO,Apr 27,Before Market Open,0.2
Roper Industries Inc,ROP,Apr 27,Before Market Open,1.52
Rudolph Technologies Inc,RTEC,Apr 27,After Market Close,0.11
Safilo Group SpA,SFL.MI,Apr 27,Time Not Supplied,N/A
Saipem SpA,SPM.MI,Apr 27,Time Not Supplied,N/A
Sandvik AB,SAND.ST,Apr 27,02:00 am ET,N/A
SB Financial Group Inc,SBFG,Apr 27,After Market Close,N/A
Scorpio Tankers Inc,STNG,Apr 27,Before Market Open,0.24
Seal123 Inc,WTSLQ,Apr 27,After Market Close,N/A
Seaspan Corp,SSW,Apr 27,After Market Close,0.23
Sembcorp Marine Ltd,S51.SI,Apr 27,After Market Close,0.07
Shanxi Lanhua Sci-Tech Venture Co Ltd,600123.SS,Apr 27,Time Not Supplied,N/A
Silicon Motion Technology Corp,SIMO,Apr 27,After Market Close,0.44
Sinopharm Group Co Ltd,1099.HK,Apr 27,Time Not Supplied,N/A
